iso3,month,ndvi_mean
ESH,6,0.0864000022411346
ESH,7,0.0834000036120414
ESH,8,0.0847999975085258
ESH,9,0.0817999988794326
ESH,10,0.0872000008821487
ESH,11,0.091399997472763
ESH,12,0.0923999994993209
ESP,1,0.522599995136261
ESP,2,0.5200999975204468
ESP,3,0.5317000150680542
ESP,4,0.5392000079154968
ESP,5,0.520799994468689
ESP,6,0.4623000025749206
ESP,7,0.4336000084877014
ESP,8,0.4133999943733215
ESP,9,0.4180999994277954
ESP,10,0.460999995470047
ESP,11,0.5034999847412109
ESP,12,0.5246999859809875
EST,1,0.1171000003814697
EST,2,0.3549000024795532
EST,3,0.4101999998092651
EST,4,0.4796999990940094
EST,5,0.6366999745368958
EST,6,0.7616999745368958
EST,7,0.7605000138282776
EST,8,0.7441999912261963
EST,9,0.7215999960899353
EST,10,0.6938999891281128
EST,11,0.5529999732971191
EST,12,0.3028999865055084
ETH,1,0.387499988079071
ETH,2,0.3422000110149383
ETH,3,0.328900009393692
ETH,4,0.4368000030517578
ETH,5,0.4767000079154968
ETH,6,0.4717999994754791
ETH,7,0.4833999872207641
ETH,8,0.5209000110626221
ETH,9,0.5288000106811523
ETH,10,0.5332000255584717
ETH,11,0.5178999900817871
ETH,12,0.4314000010490417
FIN,1,0.0835999995470047
FIN,2,0.1442999988794326
FIN,3,0.1578000038862228
FIN,4,0.296099990606308
FIN,5,0.597599983215332
FIN,6,0.7275999784469604
FIN,7,0.7709000110626221
FIN,8,0.7559999823570251
FIN,9,0.7182000279426575
FIN,10,0.6844000220298767
FIN,11,0.3533999919891357
FIN,12,0.2187000066041946
FJI,1,0.8022000193595886
FJI,2,0.8223000168800354
FJI,3,0.8238000273704529
FJI,4,0.8546000123023987
FJI,5,0.8525999784469604
FJI,6,0.8391000032424927
FJI,7,0.8252999782562256
FJI,8,0.8043000102043152
FJI,9,0.7864999771118164
FJI,10,0.7908999919891357
FJI,11,0.7851999998092651
FJI,12,0.8098999857902527
FLK,1,0.5491999983787537
FLK,2,0.5608000159263611
FLK,3,0.5903000235557556
FLK,4,0.5658000111579895
FLK,5,0.5047000050544739
FLK,6,0.4392000138759613
FLK,7,0.4435000121593475
FLK,8,0.5300999879837036
FLK,9,0.5371000170707703
FLK,10,0.531000018119812
FLK,11,0.5230000019073486
FLK,12,0.5551000237464905
GAB,1,0.6754000186920166
GAB,2,0.6710000038146973
GAB,3,0.7689999938011169
GAB,4,0.7986000180244446
GAB,5,0.7843999862670898
GAB,6,0.741599977016449
GAB,7,0.6973000168800354
GAB,8,0.6888999938964844
GAB,9,0.7727000117301941
GAB,10,0.7796000242233276
GAB,11,0.775600016117096
GAB,12,0.722000002861023
GBR,1,0.5600000023841858
GBR,2,0.588699996471405
GBR,3,0.6040999889373779
GBR,4,0.6499000191688538
GBR,5,0.7141000032424927
GBR,6,0.742900013923645
GBR,7,0.7264999747276306
GBR,8,0.694100022315979
GBR,9,0.6762999892234802
GBR,10,0.6615999937057495
GBR,11,0.6366000175476074
GBR,12,0.5647000074386597
GEO,1,0.2655999958515167
GEO,2,0.2815000116825104
GEO,3,0.3104999959468841
GEO,4,0.501800000667572
GEO,5,0.6797000169754028
GEO,6,0.7555000185966492
GEO,7,0.7588000297546387
GEO,8,0.7495999932289124
GEO,9,0.7023000121116638
GEO,10,0.6427000164985657
GEO,11,0.439300000667572
GEO,12,0.3772999942302704
GHA,1,0.4350000023841858
GHA,2,0.3648000061511993
GHA,3,0.4480000138282776
GHA,4,0.5202999711036682
GHA,5,0.5803999900817871
GHA,6,0.6412000060081482
GHA,7,0.6764000058174133
GHA,8,0.6765000224113464
GHA,9,0.7019000053405762
GHA,10,0.715499997138977
GHA,11,0.6261000037193298
GHA,12,0.4878000020980835
GIN,1,0.4760999977588653
GIN,2,0.4181999862194061
GIN,3,0.4361999928951263
GIN,4,0.4837999939918518
GIN,5,0.5504000186920166
GIN,6,0.6470000147819519
GIN,7,0.7215999960899353
GIN,8,0.7656999826431274
GIN,9,0.7760000228881836
GIN,10,0.7538999915122986
GIN,11,0.6782000064849854
GIN,12,0.5544999837875366
GMB,1,0.3449999988079071
GMB,2,0.2957000136375427
GMB,3,0.2754999995231628
GMB,4,0.2648000121116638
GMB,5,0.2678000032901764
GMB,6,0.2732000052928924
GMB,7,0.4632000029087066
GMB,8,0.6187000274658203
GMB,9,0.696399986743927
GMB,10,0.6830000281333923
GMB,11,0.5741999745368958
GMB,12,0.4325000047683716
GNB,1,0.5533999800682068
GNB,2,0.4945000112056732
GNB,3,0.4663000106811523
GNB,4,0.4427999854087829
GNB,5,0.4548999965190887
GNB,6,0.5170000195503235
GNB,7,0.6690000295639038
GNB,8,0.7386999726295471
GNB,9,0.751800000667572
GNB,10,0.7287999987602234
GNB,11,0.7017999887466431
GNB,12,0.6391000151634216
GNQ,1,0.6717000007629395
GNQ,2,0.6718000173568726
GNQ,3,0.7670999765396118
GNQ,4,0.8240000009536743
GNQ,5,0.7935000061988831
GNQ,6,0.7728999853134155
GNQ,7,0.7436000108718872
GNQ,8,0.7287999987602234
GNQ,9,0.7885000109672546
GNQ,10,0.7778000235557556
GNQ,11,0.7811999917030334
GNQ,12,0.707099974155426
GRC,1,0.5551999807357788
GRC,2,0.5497000217437744
GRC,3,0.5727999806404114
GRC,4,0.5968000292778015
GRC,5,0.5895000100135803
GRC,6,0.5498999953269958
GRC,7,0.5217999815940857
GRC,8,0.5169000029563904
GRC,9,0.5325999855995178
GRC,10,0.5382000207901001
GRC,11,0.5073000192642212
GRC,12,0.5260000228881836
GRL,1,-0.0958999991416931
GRL,2,-0.064300000667572
GRL,3,-0.0355999991297721
GRL,4,-0.0307999998331069
GRL,5,-0.0291000008583068
GRL,6,-0.0076999999582767
GRL,7,-9.999999747378752e-05
GRL,8,0.009800000116229
GRL,9,-0.0082000000402331
GRL,10,-0.0379000008106231
GRL,11,-0.0732999965548515
GRL,12,-0.0811000019311904
GTM,1,0.7324000000953674
GTM,2,0.7091000080108643
GTM,3,0.6622999906539917
GTM,4,0.6141999959945679
GTM,5,0.6448000073432922
GTM,6,0.7039999961853027
GTM,7,0.7599999904632568
GTM,8,0.7813000082969666
GTM,9,0.791100025177002
GTM,10,0.7897999882698059
GTM,11,0.7890999913215637
GTM,12,0.7609999775886536
GUY,1,0.7946000099182129
GUY,2,0.7763000130653381
GUY,3,0.7692000269889832
GUY,4,0.7649000287055969
GUY,5,0.7799000144004822
GUY,6,0.7906000018119812
GUY,7,0.7900000214576721
GUY,8,0.7990999817848206
GUY,9,0.8065000176429749
GUY,10,0.8083999752998352
GUY,11,0.7979999780654907
GUY,12,0.7900000214576721
HND,1,0.7523999810218811
HND,2,0.7161999940872192
HND,3,0.656000018119812
HND,4,0.635699987411499
HND,5,0.6662999987602234
HND,6,0.7148000001907349
HND,7,0.7563999891281128
HND,8,0.7757999897003174
HND,9,0.7839000225067139
HND,10,0.7864999771118164
HND,11,0.7874000072479248
HND,12,0.7670999765396118
HRV,1,0.4740999937057495
HRV,2,0.4749999940395355
HRV,3,0.5058000087738037
HRV,4,0.6491000056266785
HRV,5,0.734000027179718
HRV,6,0.7523000240325928
HRV,7,0.7396000027656555
HRV,8,0.6901999711990356
HRV,9,0.6589999794960022
HRV,10,0.6462000012397766
HRV,11,0.5756000280380249
HRV,12,0.5184000134468079
HTI,1,0.647599995136261
HTI,2,0.6140000224113464
HTI,3,0.566100001335144
HTI,4,0.5370000004768372
